SM.ratio	short	BM online	LWL description	BMSat description
0.95	703	True	"A plainly dressed man with lank hair falling on his shoulders, bends over a dog, placing his left hand on the head of the trustful animal. With a large brush he applies a smoking liquid to its side saying, *TRANSCRIBED* The scene is in a yard with a high paling, outside an open door leading to the dispensing-room of the Quaker, evidently an apothecary. Just within the room is a large smoking jar of *TRANSCRIBED* ; on the door-step is a dish of smoking vitriol. Above are the neatly ranged jars, bottles, and drawers of an apothecary, with a pestle and mortar. A woman in an upper window of an adjacent house looks down into the yard; she shouts: *TRANSCRIBED* ." - -British Museum online catalogue.	A plainly dressed man with lank hair falling on his shoulders, bends over a dog, placing his left hand on the head of the trustful animal. With a large brush he applies a smoking liquid to its side saying, *TRANSCRIBED* The scene is in a yard with a high paling, outside an open door leading to the dispensing-room of the Quaker, evidently an apothecary. Just within the room is a large smoking jar of *TRANSCRIBED* ; on the door-step is a dish of smoking vitriol. Above are the neatly ranged jars, bottles, and drawers of an apothecary, with a pestle and mortar. A woman in an upper window of an adjacent house looks down into the yard; she shouts: *TRANSCRIBED* Below the title: *TRANSCRIBED*
0.99	3100	True	"The interior of the House of Commons; the Speaker's chair and the table are in the foreground on the extreme left; only the Opposition benches are visible and are crowded with English sansculottes wearing bonnets-rouges who eagerly watch the denunciation of Pitt. Fox sits in the Speaker's chair, as the presiding judge, a bonnet-rouge pulled over the crown of his hat. Opposite *BRACKETED* , on a low platform surrounded by a rail, stands Pitt; a rope round his neck is held by Lauderdale who stands behind him on the extreme right with a headsman's axe in his left hand. In front of Pitt, leaning eagerly forward over the rail is Stanhope, gesticulating violently and holding out a large scroll: *TRANSCRIBED* Pitt, anxious and bewildered, his hands manacled, wearing only his shirt which has been torn from his shoulder, stands in profile to the left. Fox sits inscrutable, his clenched fists on the desk before him, a bell at his right hand, looking sideways at Pitt. Below him at the table are Erskine and Sheridan. Erskine, in wig and gown, as the accusing counsel, stands with outstretched hand pointing to Pitt and addressing the rabble on the benches. In his left hand is a paper headed *TRANSCRIBED* and from his pocket protrudes a brief: *TRANSCRIBED* *BRACKETED* . Sheridan writes busily: *TRANSCRIBED* . The books on the table are: *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* . A large scroll hangs from the table: *TRANSCRIBED* On the ground the head of the mace projects from under the tablecloth. Beside the table *BRACKETED* are five large money-bags inscribed: *TRANSCRIBED* and *TRANSCRIBED* . On the Speaker's chair, in place of the royal arms, is a tricolour shield with the motto *TRANSCRIBED* . In the foreground, immediately in front of Pitt and Lauderdale, is an iron stove with an open door showing Magna Charta and Holy Bible burning. Holding their hands to the flames are Grafton *BRACKETED* and Norfolk *BRACKETED* facing each other; each sits on an inverted ducal coronet. Beside and behind Grafton sits Lord Derby. Slightly to the left and behind this group Lansdowne kneels, weighing in a pair of scales a weight, resembling a cap of liberty and inscribed *TRANSCRIBED* , against a royal crown. The crown rests on the ground, Lansdowne tries to pull down the other scale. Beside the crown two large sacks stand on the floor inscribed *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* . From one protrudes the Prince of Wales's coronet and feathers, an earl's coronet and a Garter ribbon; from the other, a mitre and chalice. In the foreground lie a bundle of papers inscribed *TRANSCRIBED* On the crowded benches a fat butcher is conspicuous, sitting arms akimbo. Near him are a hairdresser and a tailor in delighted conversation. A chimney-sweeper holds up brush and shovel, grinning delightedly. The faces register ferocity, anger, surprise, amusement, brutishness. In the back row, under the gallery, stand dissenting ministers wearing clerical bands." - -British Museum online catalogue.	The interior of the House of Commons; the Speaker's chair and the table are in the foreground on the extreme left; only the Opposition benches are visible and are crowded with English sansculottes wearing bonnets-rouges who eagerly watch the denunciation of Pitt. Fox sits in the Speaker's chair, as the presiding judge, a bonnet-rouge pulled over the crown of his hat. Opposite *BRACKETED* , on a low platform surrounded by a rail, stands Pitt; a rope round his neck is held by Lauderdale who stands behind him on the extreme right with a headsman's axe in his left hand. In front of Pitt, leaning eagerly forward over the rail is Stanhope, gesticulating violently and holding out a large scroll: *TRANSCRIBED* Pitt, anxious and bewildered, his hands manacled, wearing only his shirt which has been torn from his shoulder, stands in profile to the left. Fox sits inscrutable, his clenched fists on the desk before him, a bell at his right hand, looking sideways at Pitt. Below him at the table are Erskine and Sheridan. Erskine, in wig and gown, as the accusing counsel, stands with outstretched hand pointing to Pitt and addressing the rabble on the benches. In his left hand is a paper headed *TRANSCRIBED* and from his pocket protrudes a brief: *TRANSCRIBED* *BRACKETED* . Sheridan writes busily: *TRANSCRIBED* . The books on the table are: *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* . A large scroll hangs from the table: *TRANSCRIBED* On the ground the head of the mace projects from under the tablecloth. Beside the table *BRACKETED* are five large money-bags inscribed: *TRANSCRIBED* and *TRANSCRIBED* . On the Speaker's chair, in place of the royal arms, is a tricolour shield with the motto *TRANSCRIBED* . In the foreground, immediately in front of Pitt and Lauderdale, is an iron stove with an open door showing Magna Charta and Holy Bible burning. Holding their hands to the flames are Grafton *BRACKETED* and Norfolk *BRACKETED* facing each other; each sits on an inverted ducal coronet. Beside and behind Grafton sits Lord Derby. Slightly to the left and behind this group Lansdowne kneels, weighing in a pair of scales a weight, resembling a cap of liberty and inscribed *TRANSCRIBED* , against a royal crown. The crown rests on the ground, Lansdowne tries to pull down the other scale. Beside the crown two large sacks stand on the floor inscribed *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* . From one protrudes the Prince of Wales's coronet and feathers, an earl's coronet and a Garter ribbon; from the other, a mitre and chalice. In the foreground lie a bundle of papers inscribed *TRANSCRIBED* On the crowded benches a fat butcher is conspicuous, sitting arms akimbo. Near him are a hairdresser and a tailor in delighted conversation. A chimney-sweeper holds up brush and shovel, grinning delightedly. The faces register ferocity, anger, surprise, amusement, brutishness. In the back row, under the gallery, stand dissenting ministers wearing clerical bands.
0.94	585	True	"A small ugly man trots *BRACKETED* deprecatingly beside his wife, a large, over-dressed, scowling termagant, on their Sunday outing. He carries her umbrella, cloak, pattens, and a bundle in a check handkerchief. She holds a fan. An elderly man *BRACKETED* walking in the opposite direction looks angrily at the couple; he swaggers in front of his pretty young wife, who appears pregnant and walks carrying a little girl and an umbrella. Behind them is an inn with the sign: *TRANSCRIBED* . A couple sit on a bench." - -British Museum online catalogue, description of an earlier state.	A small ugly man trots *BRACKETED* deprecatingly beside his wife, a large, over-dressed, scowling termagant, on their Sunday outing. He carries her umbrella, cloak, pattens, and a bundle in a check handkerchief. She holds a fan. An elderly man *BRACKETED* walking in the opposite direction looks angrily at the couple; he swaggers in front of his pretty young wife, who appears pregnant and walks carrying a little girl and an umbrella. Behind them is an inn with the sign: *TRANSCRIBED* . A couple sit on a bench.
0.97	742	True	"A monk walks through a ford leading a dog with a crown on its head: *TRANSCRIBED* leading George III to Rome. The monk says *TRANSCRIBED* . He is going towards a wayside cross *BRACKETED* , above which are rocks, on which is seated the Pope, holding out a cross towards the travellers and saying *TRANSCRIBED* . Behind him is a dome surmounted by a cross indicating St. Peter's. On the other side of the pool *BRACKETED* there are also rocks, on them stands a sheep *BRACKETED* and in the distance, by the sea-shore, are two small churches of rural appearance; off the shore are three dismantled ships with brooms at their mast-heads to show that they are for sale, the scene being inscribed *TRANSCRIBED* - -British Museum online catalogue.	A monk walks through a ford leading a dog with a crown on its head: *TRANSCRIBED* leading George III to Rome. The monk says *TRANSCRIBED* . He is going towards a wayside cross *BRACKETED* , above which are rocks, on which is seated the Pope, holding out a cross towards the travellers and saying *TRANSCRIBED* . Behind him is a dome surmounted by a cross indicating St. Peter's. On the other side of the pool *BRACKETED* there are also rocks, on them stands a sheep *BRACKETED* and in the distance, by the sea-shore, are two small churches of rural appearance; off the shore are three dismantled ships with brooms at their mast-heads to show that they are for sale, the scene being inscribed *TRANSCRIBED* n.d.
0.96	448	True	"A man walks away from the spectator, slightly to the right, showing a whiskered right cheek. He wears a high round hat with a curved brim, sparrow-tail coat, and spurred top-boots. His shoulders are sprinkled with hair-powder *BRACKETED* . In his right hand is a riding-switch. He is in shadow. On the extreme right is the arm and left leg of a man in the exact position of his shadow, dressed in the same way." - -British Museum online catalogue.	A man walks away from the spectator, slightly to the right, showing a whiskered right cheek. He wears a high round hat with a curved brim, sparrow-tail coat, and spurred top-boots. His shoulders are sprinkled with hair-powder *BRACKETED* . In his right hand is a riding-switch. He is in shadow. On the extreme right is the arm and left leg of a man in the exact position of his shadow, dressed in the same way.
0.88	545	True	"A ... sailor, arm-in-arm with a woman, stands in front of the door of a corner-house abutting on a quay. She is gaily dressed, holding a parasol, and slung with gold chains, a miniature *BRACKETED* hangs from one, a watch and seals from the other. Above the door is a board: *TRANSCRIBED* . On the door is an inscription with a pointing hand: *TRANSCRIBED* . The sailor says: *TRANSCRIBED* . Against a background of masts and spars a sailor and a woman embrace *BRACKETED* ." - -British Museum online catalogue, description of an earlier state.	A *BRACKETED* sailor, arm-in-arm with a woman, stands in front of the door of a corner-house abutting on a quay. She is gaily dressed, holding a parasol, and slung with gold chains, a miniature *BRACKETED* hangs from one, a watch and seals from the other. Above the door is a board: *TRANSCRIBED* . On the door is an inscription with a pointing hand: *TRANSCRIBED* . The sailor says: *TRANSCRIBED* . Against a background of masts and spars a sailor and a woman embrace *BRACKETED* . 30 June 1808 Hand-coloured etching.
0.86	576	True	"A young woman sits despairingly on the edge of a bed, with the end of a garter round her neck; the other end dangles from the bed-tester. It is inscribed *TRANSCRIBED* and *BRACKETED* *TRANSCRIBED* . She watches a servant holding a foppish and elderly naval officer, while he flourishes a cudgel. Bellows lie on the ground. The servant had discovered Miss Baily hanging, and after reviving her with bellows, had fetched the object of her affections and compelled him to marry her." - -British Museum online catalogue. On the wall is a painting of Venus and Adonis with Cupid.	Heading to engraved verses: *TRANSCRIBED* . A young woman sits despairingly on the edge of a bed, with the end of a garter round her neck; the other end dangles from the bed-tester. It is inscribed *TRANSCRIBED* and *BRACKETED* *TRANSCRIBED* . She watches a servant holding a foppish and elderly naval officer, while he flourishes a cudgel. Bellows lie on the ground. The servant had discovered Miss Baily hanging, and after reviving her with bellows, had fetched the object of her affections and compelled him to marry her. Cf. BMSat 10352.
0.87	348	True	"A man whole length standing in profile to left. He wears the macaroni looped club, coat, waistcoat, and frilled shirt. With this he wears a round hat, loose gloves, and spurred riding boots. In his right hand he holds a rough stick cut from the hedge, in the shape of the cane carried by the Macaroni Provider." - -British Museum online catalogue.	No.1: A man whole length standing in profile to left. He wears the macaroni looped club, coat, waistcoat, and frilled shirt. With this he wears a round hat, loose gloves, and spurred riding boots. In his right hand he holds a rough stick cut from the hedge, in the shape of the cane carried by the Macaroni Provider, see BMSat 5018. Beneath is engraved: *TRANSCRIBED* .
0.81	382	True	"Heading to an engraved song. A fat military officer, wearing cocked hat, sword, and boots, stands with an amorous swagger among eleven women; two cling to his shoulders, others raise their arms to attract his attention. Behind, and on the extreme left and right, appear the heads of two men, scowling jealously." - -British Museum online catalogue, description of an earlier state.	Heading to an engraved song. A fat military officer, wearing cocked hat, sword, and boots, stands with an amorous swagger among eleven women; two cling to his shoulders, others raise their arms to attract his attention. Behind, and on the extreme left and right, appear the heads of two men, scowling jealously. The verses *BRACKETED* begin: *TRANSCRIBED* and end: *TRANSCRIBED* Plate numbered 358.
0.99	1845	True	"George IV *BRACKETED* , surrounded by admiring Ministers, holds up a big extinguisher made of paper and inscribed *TRANSCRIBED* , which he is about to place over a crowd of tiny Jacobins who surround the Queen and Alderman Wood. All these *TRANSCRIBED* are on a round table, whose top forms the base of the design except on the right. The terrified Jacobins fall on to papers inscribed *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* . Alderman Wood steps on the back of one in a frantic effort to escape with the Queen whom he holds in his arms. She is a fat virago, holding up a fire-brand *BRACKETED* inscribed *TRANSCRIBED* , whose smoke rises into the extinguisher, and a large money-bag, *TRANSCRIBED* , labelled *TRANSCRIBED* . Other Jacobins flee to left and right, escaping the extinguisher, but either falling calamitously from the table, or about to be grasped by the hand of Eldon who sits at the table *BRACKETED* . They have banners and caps of Liberty on poles *BRACKETED* . Among the fugitives is a Don Quixote *BRACKETED* in armour, wearing Mambrino's helmet, galloping off on horseback, holding a banner. A terrified Jacobin *BRACKETED* drops a *TRANSCRIBED* . Ministers watch the approaching extinction with pleasure: Eldon has a grim smile, Sidmouth and Castlereagh behind him register, one eager delight, the other bland satisfaction. Wellington *BRACKETED* , close behind the King, smiles triumphantly, Liverpool beside him, is in profile, surprised, pleased, and imbecile. The King, three-quarter length, is a cynical Adonis, in military uniform. Behind his head is a framed picture: an irradiated sun containing features dispels dark clouds, putting bats, serpent, owl, &c., to flight; beside it is a dark disk containing the features of the Queen, in eclipse *BRACKETED* ." - -British Museum online catalogue.	George IV *BRACKETED* , surrounded by admiring Ministers, holds up a big extinguisher made of paper and inscribed *TRANSCRIBED* , which he is about to place over a crowd of tiny Jacobins who surround the Queen and Alderman Wood. All these *TRANSCRIBED* are on a round table, whose top forms the base of the design except on the right. The terrified Jacobins fall on to papers inscribed *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* . Alderman Wood steps on the back of one in a frantic effort to escape with the Queen whom he holds in his arms. She is a fat virago, holding up a fire-brand *BRACKETED* inscribed *TRANSCRIBED* , whose smoke rises into the extinguisher, and a large money-bag, *TRANSCRIBED* , labelled *TRANSCRIBED* . Other Jacobins flee to left and right, escaping the extinguisher, but either falling calamitously from the table, or about to be grasped by the hand of Eldon who sits at the table *BRACKETED* . They have banners and caps of Liberty on poles *BRACKETED* . Among the fugitives is a Don Quixote *BRACKETED* in armour, wearing Mambrino's helmet, galloping off on horseback, holding a banner. A terrified Jacobin *BRACKETED* drops a *TRANSCRIBED* . Ministers watch the approaching extinction with pleasure: Eldon has a grim smile, Sidmouth and Castlereagh behind him register, one eager delight, the other bland satisfaction. Wellington *BRACKETED* , close behind the King, smiles triumphantly, Liverpool beside him, is in profile, surprised, pleased, and imbecile. The King, three-quarter length, is a cynical Adonis, in military uniform. Behind his head is a framed picture: an irradiated sun containing features dispels dark clouds, putting bats, serpent, owl, &c., to flight; beside it is a dark disk containing the features of the Queen, in eclipse *BRACKETED* .
0.93	656	True	"On a skittle-ground just outside an inn *BRACKETED* with the sign of the mitre, a stout parson stoops to throw a ball at a set of ninepins, smoking a long pipe. A farmer, seated close to him, with a foaming jug, says, with his pipe in his mouth, *TRANSCRIBED* The parson: *TRANSCRIBED* He has not seen a grossly fat and carbuncled bishop who has entered the enclosure, leaving a carriage and pair at the gate. The bishop says: *TRANSCRIBED* A man in riding-dress, an ostler, and a countryman in a smock watch from the left, the bishop's coachman and footman from the gate *BRACKETED* ." - -British Museum online catalogue, description of an earlier state.	On a skittle-ground just outside an inn *BRACKETED* with the sign of the mitre, a stout parson stoops to throw a ball at a set of ninepins, smoking a long pipe. A farmer, seated close to him, with a foaming jug, says, with his pipe in his mouth, *TRANSCRIBED* The parson: *TRANSCRIBED* He has not seen a grossly fat and carbuncled bishop who has entered the enclosure, leaving a carriage and pair at the gate. The bishop says: *TRANSCRIBED* A man in riding-dress, an ostler, and a countryman in a smock watch from the left, the bishop's coachman and footman from the gate *BRACKETED* . Plate numbered 367.
0.88	356	True	"Satire on Joseph Banks, shown as a well-dressed man with elaborately curled hair, ass's ears and a large feather in his hat, balances on two globes - one lettered *TRANSCRIBED* , the other *TRANSCRIBED* - while he reaches towards a butterfly with a bat-shaped fly-catcher in each hand." - -British Museum online catalogue, description of an earlier state.	No.17: Satire on Joseph Banks, shown as a well-dressed man with elaborately curled hair, ass's ears and a large feather in his hat, balances on two globes - one lettered *TRANSCRIBED* , the other *TRANSCRIBED* - while he reaches towards a butterfly with a bat-shaped fly-catcher in each hand.
0.91	866	True	"Johnson *BRACKETED* sits at a small rectangular breakfast-table with his back to the door. A nursemaid behind him holds the infant Veronica, who leans forward, pushing Johnson's wig from his head; he holds up his finger admonishingly and does not appear pleased, though all the others smile admiringly. These are: Mrs. Boswell, seated *BRACKETED* opposite Johnson; Boswell standing beside Johnson and clasping his hands over *TRANSCRIBED* *BRACKETED* ; the two visitors, Mr. Scott and Sir William Forbes; the tousled foot-boy, who carries in a tray of tea-things which he is about to place beside the urn on the otherwise bare table. Three pictures decorate the wall: *TRANSCRIBED* , kneeling in prayer before a reading-desk; a medallion inscribed *TRANSCRIBED* and a half length portrait of *TRANSCRIBED* dressed as a courtier." - -British Museum online catalogue.	Johnson *BRACKETED* sits at a small rectangular breakfast-table with his back to the door. A nursemaid behind him holds the infant Veronica, who leans forward, pushing Johnson's wig from his head; he holds up his finger admonishingly and does not appear pleased, though all the others smile admiringly. These are: Mrs. Boswell, seated *BRACKETED* opposite Johnson; Boswell standing beside Johnson and clasping his hands over *TRANSCRIBED* *BRACKETED* ; the two visitors, Mr. Scott and Sir William Forbes; the tousled foot-boy, who carries in a tray of tea-things which he is about to place beside the urn on the otherwise bare table. Three pictures decorate the wall: *TRANSCRIBED* , kneeling in prayer before a reading-desk; a medallion inscribed *TRANSCRIBED* and a half length portrait of *TRANSCRIBED* dressed as a courtier *BRACKETED* . Beneath the title is engraved the passage from the *TRANSCRIBED* beginning *TRANSCRIBED* and ending *TRANSCRIBED* *BRACKETED* .
0.97	787	True	"Three Bonapartes leap from one to another grass-topped rock set in the sea. There are six, from Corsica, the smallest to Dover, the broadest. The first makes a *TRANSCRIBED* from *TRANSCRIBED* to *TRANSCRIBED* . The second stands arms akimbo, head turned in profile to the right., the 1. foot on *TRANSCRIBED* , the r. planted on a higher rock: *TRANSCRIBED* . This is *TRANSCRIBED* . The third has made a *TRANSCRIBED* into the air from *TRANSCRIBED* , and descends on to the sword-point of John Bull, who is firmly planted on *TRANSCRIBED* . Napoleon wears an enormous cocked hat *BRACKETED* with tricolour cockade and plume, tricolour sash over his military coat, tight breeches, and boots. Below the three stages of his progress: *TRANSCRIBED* ." - -British Museum online catalogue.	Three Bonapartes leap from one to another grass-topped rock set in the sea. There are six, from Corsica, the smallest to Dover, the broadest. The first makes a *TRANSCRIBED* from *TRANSCRIBED* to *TRANSCRIBED* . The second stands arms akimbo, head turned in profile to the right., the 1. foot on *TRANSCRIBED* , the r. planted on a higher rock: *TRANSCRIBED* . This is *TRANSCRIBED* . The third has made a *TRANSCRIBED* into the air from *TRANSCRIBED* , and descends on to the sword-point of John Bull, who is firmly planted on *TRANSCRIBED* . Napoleon wears an enormous cocked hat *BRACKETED* with tricolour cockade and plume, tricolour sash over his military coat, tight breeches, and boots. Below the three stages of his progress: *TRANSCRIBED*
0.97	891	True	"Mrs. Fitzherbert *BRACKETED* in bed, supported on her right elbow, looks fixedly towards a warming-pan held by a stout woman who approaches the foot of the bed. In the perforations of the pan are stuck three ostrich feathers; a monk, holding up a crucifix, gazes down at it. Mrs. Fitzherbert wears a large frilled cap and a nightdress with ruffles. The fringed bed-curtains are looped up. On the extreme right is part of a draped table on which are a cup, bowl, and a large urn *BRACKETED* . On the wall are three pictures: one, the *TRANSCRIBED* , a man galloping beside hounds; this has the motto *TRANSCRIBED* *BRACKETED* with three ostrich feathers. It is flanked by two profile heads facing each other: one is *TRANSCRIBED* , the other *TRANSCRIBED* , but they do not appear to be portraits. The carpet is patterned with Prince of Wales's feathers." - -British Museum online catalogue.	Mrs. Fitzherbert *BRACKETED* in bed, supported on her right elbow, looks fixedly towards a warming-pan held by a stout woman who approaches the foot of the bed. In the perforations of the pan are stuck three ostrich feathers; a monk, holding up a crucifix, gazes down at it. Mrs. Fitzherbert wears a large frilled cap and a nightdress with ruffles. The fringed bed-curtains are looped up. On the extreme right is part of a draped table on which are a cup, bowl, and a large urn *BRACKETED* . On the wall are three pictures: one, the *TRANSCRIBED* , a man galloping beside hounds; this has the motto *TRANSCRIBED* *BRACKETED* with three ostrich feathers. It is flanked by two profile heads facing each other: one is *TRANSCRIBED* , the other *TRANSCRIBED* , but they do not appear to be portraits. The carpet is patterned with Prince of Wales's feathers. 17 December 1789.
0.94	986	True	"The lady, dressed for the evening, stands before the pier-glass, drawing on a long glove. She wears an apparently simple dress of sprigged muslin, high-waisted and décolletée, showing her ankles, with draped shoulder-strap. The tight curls of the wig have been loosened to simulate natural *BRACKETED* hair. A miniature or pendant hangs from her neck, above the elbow is a massive bracelet. The maid stands behind her mistress holding a shawl and fan, and with a hand held up as if in admiration at the result of her long labours. The book-case is open but with a key in the lock, and contains two volumes of *TRANSCRIBED* and one of *TRANSCRIBED* *BRACKETED* . The picture on the wall is *TRANSCRIBED* : a lady in full toilette walks, holding a fan; below it hangs a large ornate bag or reticule. The dog stands on a chair *BRACKETED* , gazing at its mistress. On the floor is a book: *TRANSCRIBED* open at a fashion-plate of two ladies walking." - -British Museum online catalogue.	One of a set with the same signature and imprint, see Nos. 11608, 11609. The lady, dressed for the evening, stands before the pier-glass, drawing on a long glove. She wears an apparently simple dress of sprigged muslin, high-waisted and décolletée, showing her ankles, with draped shoulder-strap. The tight curls of the wig have been loosened to simulate natural *BRACKETED* hair. A miniature or pendant hangs from her neck, above the elbow is a massive bracelet. The maid stands behind her mistress holding a shawl and fan, and with a hand held up as if in admiration at the result of her long labours. The book-case is open but with a key in the lock, and contains two volumes of *TRANSCRIBED* and one of *TRANSCRIBED* *BRACKETED* . The picture on the wall is *TRANSCRIBED* : a lady in full toilette walks, holding a fan; below it hangs a large ornate bag or reticule. The dog stands on a chair *BRACKETED* , gazing at its mistress. On the floor is a book: *TRANSCRIBED* open at a fashion-plate of two ladies walking.
0.97	1514	True	"A sequence of seven designs of unequal size, divided by lines and arranged in two rows, four above and three below. The inscriptions parody *TRANSCRIBED* , cf. *BRACKETED* British Museum Satires No. 11414. *BRACKETED* This is the City of Lisbon. A view of Lisbon with the Tagus in the foreground. *BRACKETED* This is the Gold, that lay in the City of Lisbon. Four sacks heaped with coins, church plate, rosaries, &c. *BRACKETED* These are the French who took the Gold, *BRACKETED* . Two French officers standing together, registering sly satisfaction. *BRACKETED* This is Sir Arthur *BRACKETED* who beat the French, *BRACKETED* . Wellesley stands in the foreground with drawn sword directing the battle; British soldiers pursue French troops. *BRACKETED* This is the Convention that Nobody owns, that saved old Junots Baggage and Bones, altho" Sir Arthur *BRACKETED* . Junot sits complacently *BRACKETED* while Wellesley signs the Convention, and Dalrymple and Burrard *BRACKETED* wait their turn. *BRACKETED* These are the Ships that carried the spoil, that the French had plundered with so much toil, after the Convention which nobody *BRACKETED* . British men-of-war in full sail. *BRACKETED* This is John Bull, in great dismay, at the sight of the Ships, which carried away, the gold and silver and all the spoil, the French *BRACKETED* . John, a fat *TRANSCRIBED* , in profile to the left in his arm-chair, scowls with protruding underlip." - -British Museum online catalogue, description of a variant state.	A sequence of seven designs of unequal size, divided by lines and arranged in two rows, four above and three below. The inscriptions parody *TRANSCRIBED* , cf. *BRACKETED* No. 11414. *BRACKETED* This is the City of Lisbon. A view of Lisbon with the Tagus in the foreground. *BRACKETED* This is the Gold, that lay in the City of Lisbon. Four sacks heaped with coins, church plate, rosaries, &c. *BRACKETED* These are the French who took the Gold, *BRACKETED* . Two French officers standing together, registering sly satisfaction. *BRACKETED* This is Sir Arthur *BRACKETED* who beat the French, *BRACKETED* . Wellesley stands in the foreground with drawn sword directing the battle; British soldiers pursue French troops. *BRACKETED* This is the Convention that Nobody owns, that saved old Junots Baggage and Bones, altho <<CLOSE Sir Arthur *BRACKETED* . Junot sits complacently *BRACKETED* while Wellesley signs the Convention, and Dalrymple and Burrard *BRACKETED* wait their turn. *BRACKETED* These are the Ships that carried the spoil, that the French had plundered with so much toil, after the Convention which nobody *BRACKETED* . British men-of-war in full sail. *BRACKETED* This is John Bull, in great dismay, at the sight of the Ships, which carried away, the gold and silver and all the spoil, the French *BRACKETED* . John, a fat *TRANSCRIBED* , in profile to the left in his arm-chair, scowls with protruding underlip.
0.89	466	True	"Johnson *BRACKETED* and Boswell *BRACKETED* embrace; Boswell, his face hidden behind that of Johnson, holds up his hat as if in triumph. Johnson, wearing hat and boots, holds his oak stick; his eyes are closed; a large book protrudes from his coat-pocket. The post-boy *BRACKETED* stands warming his back at the fire watching the embrace. A bare-legged man *BRACKETED* , scratching his tousled head, holds out a bowl to Boswell." - -British Museum online catalogue.	Johnson *BRACKETED* and Boswell *BRACKETED* embrace; Boswell, his face hidden behind that of Johnson, holds up his hat as if in triumph. Johnson, wearing hat and boots, holds his oak stick; his eyes are closed; a large book protrudes from his coat-pocket. The post-boy *BRACKETED* stands warming his back at the fire watching the embrace. A bare-legged man *BRACKETED* , scratching his tousled head, holds out a bowl to Boswell. Beneath the title is engraved: *TRANSCRIBED* Vide Journal p. 12 <<CLOSE .
0.89	215	True	"Portrait, whole length, of a man playing the violin. His figure faces the spectator, his head turned in profile to left. He is dressed macaroni-fashion with a large looped club." - -British Museum online catalogue.	No.15: Portrait, whole length, of a man playing the violin. His figure faces the spectator, his head turned in profile to left. He is dressed macaroni-fashion with a large looped club.
0.97	630	True	"Sir Francis Burdett, one hand on the knocker of the large iron-studded door, addresses the gaoler, a burly ruffian with large keys, who stands just inside, holding open one leaf of the door. He says, one finger raised: *TRANSCRIBED* The gaoler answers: *TRANSCRIBED* From Burdett's pocket hangs a paper: *TRANSCRIBED* *BRACKETED* . In the background a hackney coach is driving under the high prison wall towards the gate. The profile of Courtenay *BRACKETED* looks from the window to say: *TRANSCRIBED* . The driver answers: *TRANSCRIBED* Above the massive gateway is inscribed: *TRANSCRIBED* " --British Museum online catalogue.	Sir Francis Burdett, one hand on the knocker of the large iron-studded door, addresses the gaoler, a burly ruffian with large keys, who stands just inside, holding open one leaf of the door. He says, one finger raised: *TRANSCRIBED* The gaoler answers: *TRANSCRIBED* From Burdett's pocket hangs a paper: *TRANSCRIBED* *BRACKETED* . In the background a hackney coach is driving under the high prison wall towards the gate. The profile of Courtenay *BRACKETED* looks from the window to say: *TRANSCRIBED* . The driver answers: *TRANSCRIBED* Above the massive gateway is inscribed: *TRANSCRIBED*
